NumRecords,timeForLast100000Records(ms)
30500000,9587
30600000,9918
30700000,10408
30800000,8894
30900000,9204
31000000,9282
31100000,9276
31200000,9066
31300000,8780
31400000,9008
31500000,9599
31600000,9811
31700000,9078
31800000,9376
31900000,9121
32000000,7789
32100000,9009
32200000,8969
32300000,8921
32400000,9211
32500000,9178
32600000,9520
32700000,9058
32800000,9184
32900000,9041
33000000,9354
33100000,9249
33200000,8992
33300000,9273
33400000,10070
33500000,9271
33600000,8715
33700000,9143
33800000,9349
33900000,8956
34000000,9635
34100000,10920
34200000,3920
34300000,3940
34400000,4270
34500000,4276
34600000,4137
34700000,4110
34800000,3893
34900000,4053
35000000,4332
35100000,4261
35200000,4069
35300000,4157
35400000,4095
35500000,4304
35600000,4094
35700000,3848
35800000,4010
35900000,4066
36000000,4090
36100000,4102
36200000,4131
36300000,4011
36400000,4096
36500000,4043
36600000,4154
36700000,3867
36800000,4222
36900000,4187
37000000,4085
37100000,3969
37200000,4336
37300000,4195
37400000,4220
37500000,4111
37600000,3990
37700000,3914
37800000,3961
37900000,3834
38000000,4103
38100000,4059
38200000,3977
38300000,3958
38400000,5855
38500000,4454
38600000,4389
38700000,4360
38800000,4554
38900000,4328
39000000,4456
39100000,4657
39200000,4337
39300000,4375
39400000,4328
39500000,4221
39600000,4271
39700000,4454
39800000,4335
39900000,4267
40000000,4139
40100000,4243
40200000,4217
40300000,4163
40400000,4361
40500000,4197
40600000,4257
40700000,4362
40800000,4408
40900000,4504
41000000,4490
41100000,4376
41200000,4584
41300000,4401
41400000,4412
41500000,4555
41600000,4201
41700000,4352
41800000,4488
41900000,4422
42000000,4220
42100000,4293
42200000,4154
42300000,4165
42400000,4238
42500000,4255
42600000,4231
42700000,4017
42800000,4462
42900000,6124
43000000,4775
43100000,4818
43200000,4775
43300000,4653
43400000,4856
43500000,4642
43600000,4632
43700000,4784
43800000,4713
43900000,4540
44000000,4597
44100000,4834
44200000,4353
44300000,4676
44400000,4405
44500000,4562
44600000,4594
44700000,4750
44800000,4684
44900000,4760
45000000,4674
45100000,4919
45200000,4650
45300000,4625
45400000,4522
45500000,4620
45600000,4439
45700000,4897
45800000,4249
45900000,4780
46000000,4533
46100000,5176
46200000,5721
46300000,4764
46400000,4780
46500000,4663
46600000,4712
46700000,4503
46800000,4424
46900000,4733
47000000,4599
47100000,4557
47200000,4361
47300000,4749
47400000,4767
47500000,4605
47600000,5031
47700000,6714
47800000,5203
47900000,4691
48000000,4917
48100000,5085
48200000,4894
48300000,4735
48400000,4952
48500000,4875
48600000,5117
48700000,5150
48800000,5019
48900000,4845
49000000,5136
49100000,5453
49200000,5045
49300000,5039
49400000,4898
49500000,4864
49600000,5027
49700000,5131
49800000,5178
49900000,5252
50000000,5037
50100000,4021
50200000,5022
50300000,4706
50400000,5043
50500000,4614
50600000,5032
50700000,4825
50800000,5208
50900000,5041
51000000,4926
51100000,5323
51200000,5007
51300000,5066
51400000,4996
51500000,4867
51600000,5140
51700000,4740
51800000,5089
51900000,4915
52000000,4830
52100000,4971
52200000,7481
52300000,5975
52400000,5329
52500000,5398
52600000,5559
52700000,5355
52800000,5365
52900000,5686
53000000,5581
53100000,5482
53200000,5553
53300000,5322
53400000,5360
53500000,5352
53600000,5513
53700000,5539
53800000,5537
53900000,5492
54000000,5609
54100000,5388
54200000,5521
54300000,5388
54400000,5367
54500000,5491
54600000,5669
54700000,5558
54800000,5067
54900000,5477
55000000,5506
55100000,5498
55200000,5655
55300000,5620
55400000,5406
55500000,5330
55600000,5491
55700000,5413
55800000,5461
55900000,5501
56000000,5499
56100000,5354
56200000,5407
56300000,5913
56400000,5317
56500000,5367
56600000,5161
56700000,5556
56800000,5446
56900000,5461
57000000,5444
57100000,8136
57200000,6125
57300000,5995
57400000,6284
57500000,5998
57600000,5988
57700000,5848
57800000,5675
57900000,5947
58000000,5807
58100000,5890
58200000,5637
58300000,5962
58400000,5619
58500000,5934
58600000,5912
58700000,5788
58800000,5689
58900000,5699
59000000,5773
59100000,6152
59200000,5738
59300000,5463
59400000,5196
59500000,5051
59600000,5782
59700000,5918
59800000,5630
59900000,5719
60000000,5630
60100000,5343
60200000,5957
60300000,5807
60400000,5753
60500000,5770
60600000,5596
60700000,5690
60800000,6150
60900000,5711
61000000,5677
61100000,5582
61200000,5604
61300000,5937
61400000,5544
61500000,5899
61600000,6193
61700000,7886
61800000,6437
61900000,6550
62000000,6402
62100000,6053
62200000,6033
62300000,6221
62400000,6598
62500000,6209
