NumRecords,timeForLast100000Records(ms)
30700000,1077
30800000,1109
30900000,1064
31000000,1090
31100000,1106
31200000,1074
31300000,1144
31400000,1123
31500000,1251
31600000,1372
31700000,1254
31800000,1219
31900000,1126
32000000,1094
32100000,1156
32200000,1138
32300000,1147
32400000,1342
32500000,1688
32600000,1509
32700000,1543
32800000,1359
32900000,1404
33000000,1235
33100000,2353
33200000,1656
33300000,1169
33400000,1206
33500000,1432
33600000,1155
33700000,1172
33800000,1137
33900000,1160
34000000,1215
34100000,1097
34200000,1164
34300000,1205
34400000,1178
34500000,1211
34600000,1165
34700000,1138
34800000,1125
34900000,1145
35000000,1133
35100000,1209
35200000,1066
35300000,1156
35400000,1101
35500000,1132
35600000,1150
35700000,1077
35800000,1139
35900000,1120
36000000,1088
36100000,1110
36200000,1187
36300000,1120
36400000,1100
36500000,1191
36600000,1157
36700000,1112
36800000,1143
36900000,1204
37000000,1250
37100000,1175
37200000,1128
37300000,1158
37400000,1239
37500000,1173
37600000,1141
37700000,1131
37800000,1122
37900000,1144
38000000,1203
38100000,1118
38200000,1121
38300000,1114
38400000,1134
38500000,1131
38600000,1111
38700000,1116
38800000,1125
38900000,1126
39000000,1119
39100000,1148
39200000,1120
39300000,1163
39400000,1110
39500000,1119
39600000,1187
39700000,1122
39800000,1165
39900000,1105
40000000,1138
40100000,1108
40200000,1096
40300000,1119
40400000,1162
40500000,1112
40600000,1114
40700000,1114
40800000,1130
40900000,1152
41000000,1116
41100000,1168
41200000,1120
41300000,1154
41400000,1128
41500000,1116
41600000,1082
41700000,1135
41800000,1123
41900000,1138
42000000,1122
42100000,1123
42200000,1133
42300000,1108
42400000,1117
42500000,1108
42600000,1113
42700000,1119
42800000,1157
42900000,1129
43000000,1125
43100000,1117
43200000,1116
43300000,1122
43400000,1099
43500000,1139
43600000,1143
43700000,1131
43800000,1132
43900000,1128
44000000,1135
44100000,1118
44200000,1075
44300000,1125
44400000,1112
44500000,1109
44600000,1125
44700000,1149
44800000,1203
44900000,1147
45000000,1142
45100000,1089
45200000,1130
45300000,1131
45400000,1128
45500000,1140
45600000,1121
45700000,1138
45800000,1063
45900000,1133
46000000,1119
46100000,1111
46200000,1119
46300000,1114
46400000,1128
46500000,1110
46600000,1127
46700000,1155
46800000,1113
46900000,1107
47000000,1119
47100000,1155
47200000,1106
47300000,1131
47400000,1122
47500000,1177
47600000,1165
47700000,1126
47800000,1122
47900000,1087
48000000,1134
48100000,1110
48200000,1114
48300000,1102
48400000,1181
48500000,1127
48600000,1134
48700000,1109
48800000,1109
48900000,1151
49000000,1110
49100000,1155
49200000,1121
49300000,1133
49400000,1097
